Time_ms id positions_x positions_z rotation_y is_signaling score
26079 0 -16 9 123 0 0
26079 1 67 -17 357 0 0
26079 2 102 14 209 0 -3
26180 0 -16 8 123 0 0
26180 1 67 -16 357 0 0
26180 2 102 13 217 0 -3
26279 0 -16 8 123 0 0
26279 1 67 -16 357 0 0
26279 2 102 13 220 0 -3
26379 0 -15 8 123 0 0
26379 1 67 -15 357 0 0
26379 2 101 12 220 0 -3
26479 0 -15 8 123 0 0
26479 1 67 -14 357 0 0
26479 2 101 12 220 0 -3
26579 0 -15 8 123 0 0
26579 1 67 -14 357 0 0
26579 2 100 11 220 0 -3
26680 0 -14 7 123 0 0
26680 1 67 -13 357 0 0
26680 2 100 11 220 0 -3
26779 0 -14 7 123 0 0
26779 1 67 -12 357 0 0
26779 2 99 10 220 0 -3
26879 0 -14 7 123 0 0
26879 1 67 -11 357 0 0
26879 2 99 10 220 0 -3
26979 0 -14 7 123 0 0
26979 1 67 -11 357 0 0
26979 2 99 9 220 0 -3
27079 0 -13 7 123 0 0
27079 1 67 -10 357 0 0
27079 2 98 9 220 0 -3
27180 0 -13 6 123 0 0
27180 1 67 -9 357 0 0
27180 2 98 8 220 0 -3
27279 0 -13 6 123 0 0
27279 1 67 -9 357 0 0
27279 2 97 8 227 0 -3
27379 0 -12 6 57 0 0
27379 1 67 -8 357 0 0
27379 2 97 7 238 0 -3
27479 0 -12 6 57 0 0
27479 1 67 -7 357 0 0
27479 2 96 7 245 0 -3
27579 0 -12 6 57 0 0
27579 1 67 -7 357 0 0
27579 2 95 6 248 0 -3
27680 0 -12 7 57 0 0
27680 1 67 -6 357 0 0
27680 2 95 6 249 0 -3
27779 0 -11 7 57 0 0
27779 1 67 -5 357 0 0
27779 2 94 6 249 0 -3
27879 0 -11 7 57 0 0
27879 1 67 -5 357 0 0
27879 2 93 6 249 0 -3
27979 0 -11 7 57 0 0
27979 1 67 -4 357 0 0
27979 2 93 5 249 0 -3
28079 0 -10 7 57 0 0
28079 1 67 -3 357 0 0
28079 2 92 5 249 0 -3
28180 0 -10 8 57 0 0
28180 1 67 -2 357 0 0
28180 2 92 5 249 0 -3
28279 0 -10 8 57 0 0
28279 1 67 -2 357 0 0
28279 2 91 5 249 0 -3
28379 0 -9 8 57 0 0
28379 1 67 -1 357 0 0
28379 2 90 4 254 0 -3
28479 0 -9 8 57 0 0
28479 1 67 0 357 0 0
28479 2 89 4 263 0 -3
28579 0 -9 8 57 0 0
28579 1 67 0 357 0 0
28579 2 89 4 276 0 -3
28680 0 -9 9 57 0 0
28680 1 66 0 357 0 0
28680 2 88 4 288 0 -3
28779 0 -8 9 57 0 0
28779 1 66 1 357 0 0
28779 2 87 4 305 0 -3
28879 0 -8 9 57 0 0
28879 1 66 1 357 0 0
28879 2 87 5 316 0 -3
28979 0 -8 9 57 0 0
28979 1 66 2 357 0 0
28979 2 86 5 322 0 -3
29079 0 -7 9 57 0 0
29079 1 66 3 357 0 0
29079 2 86 6 324 0 -3
29179 0 -7 9 57 0 0
29179 1 66 4 357 0 0
29179 2 86 6 324 0 -3
29279 0 -7 9 80 0 0
29279 1 66 4 357 0 0
29279 2 85 7 324 0 -3
29379 0 -7 9 120 0 0
29379 1 66 5 357 0 0
29379 2 85 8 324 0 -3
29479 0 -6 9 120 0 0
29479 1 66 6 357 0 0
29479 2 84 8 324 0 -3
29579 0 -6 9 120 0 0
29579 1 66 6 357 0 0
29579 2 84 9 322 0 -3
29679 0 -6 9 120 0 0
29679 1 66 7 357 0 0
29679 2 84 9 317 0 -3
29779 0 -6 9 4 0 0
29779 1 66 8 357 0 0
29779 2 83 10 317 0 -3
29879 0 -5 8 186 0 0
29879 1 66 8 357 0 0
29879 2 83 10 317 0 -3
29979 0 -6 8 186 0 0
29979 1 66 9 357 0 0
29979 2 82 11 317 0 -3
30079 0 -6 8 186 0 0
30079 1 66 10 357 0 0
30079 2 82 11 317 0 -3
30179 0 -6 7 186 0 0
30179 1 66 11 357 0 0
30179 2 81 12 317 0 -3
30279 0 -6 7 186 0 0
30279 1 66 11 357 0 0
30279 2 81 12 317 0 -3
30379 0 -6 7 186 0 0
30379 1 66 12 357 0 0
30379 2 80 13 317 0 -3
30479 0 -6 6 186 0 0
30479 1 66 13 357 0 0
30479 2 80 13 317 0 -3
30579 0 -6 6 186 0 0
30579 1 66 13 357 0 0
30579 2 79 14 317 0 -3
30679 0 -6 5 186 0 0
30679 1 66 14 357 0 0
30679 2 79 14 310 0 -3
30779 0 -6 5 186 0 0
30779 1 66 15 357 0 0
30779 2 78 15 298 0 -3
30879 0 -6 5 186 0 0
30879 1 66 15 357 0 0
30879 2 78 15 291 0 -3
30979 0 -6 4 186 0 0
30979 1 66 16 357 0 0
30979 2 77 16 287 0 -3
31079 0 -6 4 186 0 0
31079 1 66 17 357 0 0
31079 2 76 16 286 0 -3
31179 0 -6 4 186 0 0
31179 1 66 18 357 0 0
31179 2 76 16 286 0 -3
31279 0 -6 3 186 0 0
31279 1 66 18 357 0 0
31279 2 75 16 286 0 -3
31379 0 -6 3 186 0 0
31379 1 66 19 357 0 0
31379 2 74 16 286 0 -3
31479 0 -6 3 186 0 0
31479 1 65 20 357 0 0
31479 2 74 17 286 0 -3
31579 0 -6 2 186 0 0
31579 1 65 20 357 0 0
31579 2 73 17 286 0 -3
31679 0 -6 2 186 0 0
31679 1 65 21 357 0 0
31679 2 72 17 286 0 -3
31779 0 -6 2 186 0 0
31779 1 65 22 357 0 0
31779 2 72 17 286 0 -3
31879 0 -6 1 186 0 0
31879 1 65 22 357 0 0
31879 2 71 17 286 0 -3
